device_id,media_owner,name,venue_type,direction_name,lat,lng,face_count,city,state_abbr,zip,country,cpm,dma_name,cbsa_name,us_county,content_width,content_height,ad_play_duration,video_supported,audio_supported,last_request,closest_poi_distance_miles,closest_poi_name,pois_within_radius,image_url,audience_index_dma,audience_index_national
595406,Lamar Advertising,5500 W Sunset N/S at 1120 Mathias,Digital Billboard,East,36.17578889,-94.19151944,1,Springdale,Arkansas,72762,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1200,400,8,N,N,2026-06-22T04:24:07.576Z,,,0,https://content.adomni.com/a41TCl1CKtvWr6rXxQjMtN2rTfPgwr_WlUMlSDGcoyzDTsJODp_original.png,,
595407,Lamar Advertising,"Hwy 71 B S E/S, 0.10 mi N/O Porter St, Springdale, AR (Bowling Alley), N/F, SB",Digital Billboard,North,36.170769,-94.138857,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",840,400,8,N,N,2026-06-23T16:53:44.573Z,,,0,https://content.adomni.com/f7qTVDbAY50ozuDattJC51Vu3awUuZAFfUdqKjRTq6CFG7FShX_original.png,,
595409,Lamar Advertising,"Walton Blvd E/S, 0.50 mi N/O SH 102, Bentonville, AR, NB, S/F",Digital Billboard,South,36.361985,-94.217264,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-22T04:59:50.277Z,,,0,https://content.adomni.com/moegvVSz_t8gkXp2xT3LOWkfpLDWnMwui_FyLe3fSCYbilD5CG_original.jpg,,
595411,Lamar Advertising,"I-49 E/S, 0.30 mi S/O SH 102, Bentonville, AR, S/F",Digital Billboard,South,36.352892,-94.178432,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-22T04:56:43.354Z,,,0,https://content.adomni.com/v10jgHRBmnfr6sbWPyEPCBNc04xEFEvoip_bu9KMybrSf3J68T_original.jpg,,
595412,Lamar Advertising,I-49 W/S .5 MI N/O Don Tyson Pkwy SF,Digital Billboard,South,36.160742,-94.187075,1,Springdale,Arkansas,72762,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:26:30.867Z,,,0,https://content.adomni.com/141iY5xSRJf-E9Y3M5EltmW9ehycNT73BcoyUcv4Eyc7vPkN2v_original.jpg,,
595413,Lamar Advertising,I-49 W/S .5 MI N/O Don Tyson Pkwy NF,Digital Billboard,North,36.160742,-94.187075,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:24:31.228Z,,,0,https://content.adomni.com/ZJ-s-GlF8P1Fpw7IouatUAdaWuAltCoMajb2CFxTXeILJFcmDt_original.jpg,,
595415,Lamar Advertising,"I-49 W/S, 0.60 mi S/O SH 264, Lowell, AR, N/F",Digital Billboard,North,36.245328,-94.151877,1,Lowell,Arkansas,72745,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:42:50.814Z,,,0,https://content.adomni.com/H0MGHL_HYofKCvuQNeA3dTuTDn_bEYfAlvlCB3lCUhUMdw7-Ig_original.jpg,,
595416,Lamar Advertising,"I-49 W/S, 0.60 mi S/O SH 264, Lowell, AR, S/F",Digital Billboard,South,36.245328,-94.151877,1,Lowell,Arkansas,72745,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:22:53.573Z,,,0,https://content.adomni.com/GtcLaCrgkfMYNNhsNjCvez67-a3msnr-2HiuDAkQ1F9VScckuZ_original.jpg,,
595417,Lamar Advertising,"Hwy 71B 300 South of W Lakeview Dr., 4915 S. Thompson E/S, Springdale, AR, N/F (D05N1)",Digital Billboard,North,36.13917985,-94.14371063,1,Springdale,Arkansas,72764,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-22T04:45:39.911Z,,,0,https://content.adomni.com/Ec9Ca7QCE7wFvFqeDI3yTAyi9y3ez4hXveFpgAl0NmE2iB9Z26_original.png,,
595418,Lamar Advertising,"Hwy 71B 300 South of W Lakeview Dr., 4915 S. Thompson E/S, Springdale, AR, S/F (D05S1)",Digital Billboard,South,36.13917985,-94.14371063,1,Springdale,Arkansas,72764,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:20:12.612Z,,,0,https://content.adomni.com/l1bPCyQOfSvDX6x_-0-e3DeavC6iQaug6l1ywNAYhDW5dZkc2a_original.png,,
595419,Lamar Advertising,"Hwy 71 B E/S, 0.10 mi N/O Porter Rd, Springdale, AR (Bowling Alley), S/F, NB",Digital Billboard,South,36.170769,-94.138857,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",840,400,8,N,N,2026-06-23T16:43:07.934Z,,,0,https://content.adomni.com/IzBg5Ozi5ANk5p4iMee1NUP2COw_1f7RW4ZcKFq3z8MXQsXcp1_original.jpeg,,
595420,Lamar Advertising,"I-49 W/S, AT MM 70, 4201 S. 56th St., Springdale, AR, S/F (D07S)",Digital Billboard,South,36.14827782,-94.18623471,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:50:11.215Z,,,0,https://content.adomni.com/y-hobld9XnyyhFnM-I9g4H3ybsLsfY3b4l7mfzvSB3R8tv5nho_original.jpg,,
595422,Lamar Advertising,I-49 E/S 100' N/O Don Tyson Parkway N/F,Digital Billboard,North,36.157169,-94.185754,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:32:01.163Z,,,0,https://content.adomni.com/3ZY1Ea7VIonqJrftGH1Mb0stPiAbQAAv2QMCFxBHoxVeLTzZLl_original.jpg,,
595423,Lamar Advertising,I-49 E/S 100' N/O Don Tyson Parkway S/F,Digital Billboard,South,36.157169,-94.185754,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T15:59:14.530Z,,,0,https://content.adomni.com/Lwwn5WqB04YFweYyhSppOhwoKg8uR3GqVZ6LWLzOjCioPXAZYE_original.jpg,,
595424,Lamar Advertising,"1800 Hwy 412 S/S, Siloam Springs, AR, W/F (D11W1)",Digital Billboard,West,36.1724,-94.52395,1,Siloam Springs,Arkansas,72761,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:31:52.138Z,,,0,https://content.adomni.com/o9UjHHqsuSfuQYgw5mjacKAhIWL-SfW6g4zcB59w8zFYRPZGd9_original.png,,
595425,Lamar Advertising,"4282 W. Sunset N/S, AT Rieff, Springdale, AR, W/F, (Lowes) (D19W1)",Digital Billboard,West,36.17553086,-94.17775948,1,Springdale,Arkansas,72762,United States,10.14492754,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:46:38.340Z,,,0,https://content.adomni.com/BzExa49tw_qNpEuBdpDLwfoi_knl46EXBEIg04SsQSPf-TQ6KR_original.png,,
595428,Lamar Advertising,"I-49 E/S, AT MM 72.5, 651 Rio Bravo Dr., Springdale, AR, S/F ((D25S1)",Digital Billboard,South,36.17993567,-94.17991695,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:25:08.341Z,,,0,https://content.adomni.com/nIdOtdlZ37VMCqu3IvrnuWc68t6nI2GXUsgD3Prqs_qHqqoHL0_original.png,,
595429,Lamar Advertising,"I-49 W/S, AT MM 73.5, 4774 Elm Springs Rd., Springdale, AR, S/F (D28S1)",Digital Billboard,South,36.19877477,-94.18195134,1,Springdale,Arkansas,72762,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:53:50.062Z,,,0,https://content.adomni.com/mZOJrmR1Dx-q6bSDuo26iZ7mRfvU-3Bu5a6OLEUa1MJhlcZeFj_original.png,,
595432,Lamar Advertising,"I-49 W/S, AT MM 85, 3609 Moberly Lane, Bentonville, AR (D62N1)",Digital Billboard,North,36.33389195,-94.18483746,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-22T04:59:06.106Z,,,0,https://content.adomni.com/Pnh6v5b4hhoG3RTnL0vR3h_4UiuClJ7VRd7_Yr3ruNAC3FxsTq_original.jpeg,,
595433,Lamar Advertising,"I-49 W/S, AT MM 85, 3609 Moberly Lane, Bentonville, AR (D62S1)",Digital Billboard,South,36.33389195,-94.18483746,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:53:17.488Z,,,0,https://content.adomni.com/eF5eZRUM-ZdS5bvow46QGvwcX3PBLrFbbUNIfXf1B1qAjvNFf4_original.png,,
595434,Lamar Advertising,"14th and S. Walton E/S, Bentonville, AR, N/F (D63N1)",Digital Billboard,North,36.35672137,-94.21256944,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-22T05:00:14.576Z,,,0,https://content.adomni.com/9n3esaVG41YTx489OPAiqszqNZGW-clVdb7x9g-ErPX1zXaUZI_original.png,,
595435,Lamar Advertising,"14th and S. Walton E/S, Bentonville, AR, S/F (D63S1)",Digital Billboard,South,36.35672137,-94.21256944,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-22T04:59:35.107Z,,,0,https://content.adomni.com/iSWPDuy2NbL8bGkVZ_vt8B7KSXkyckSgk-13FZlGoYGT5f7Lpz_original.png,,
595439,Lamar Advertising,"3500 US Hwy 412 S/S, Siloam Springs, AR (Lowes), E/F (D72E1)",Digital Billboard,East,36.18059693,-94.50762736,1,Siloam Springs,Arkansas,72761,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-23T16:54:18.272Z,,,0,https://content.adomni.com/en-S5w1hX-4M6LFScoZHkOeuj0_7m2YNbp6_7cd6EWuTC_MCct_original.jpg,,
595441,Lamar Advertising,"I-49 W/S, AT MM 78, Lowell, AR, N/F (D79N1)",Digital Billboard,North,36.2678335,-94.15085122,1,Rogers,Arkansas,72758,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-18T19:11:51.945Z,,,0,https://content.adomni.com/lX-v_KkD3kqCUA6avfAI9MEqY8hKq_5oxKL7uLnXfBdKJAyiGG_original.png,,
595443,Lamar Advertising,"I-49 E/S, AT MM 82, Rogers, AR, S/F (D81S1)",Digital Billboard,South,36.28887922,-94.16001514,1,Rogers,Arkansas,72758,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-22T04:44:20.816Z,,,0,https://content.adomni.com/OHJNwKGGn7GpZ7N5HjxmrBFt9jLh0GXhljnLoP-mYSchIb04LF_original.png,,
595444,Lamar Advertising,"401 SE Walton N/S, Bentonville, AR, W/F (D82W1)",Digital Billboard,West,36.33566111,-94.20545833,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:54:07.072Z,,,0,https://content.adomni.com/hpNo1lwrbt_lJaum6UQumKE-aLQymm79kxB0WqEFfjAsgr0Kto_original.png,,
595445,Lamar Advertising,"401 SE Walton N/S, Bentonville, AR, E/F (D82E1)",Digital Billboard,East,36.33566111,-94.20545833,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1400,400,8,N,N,2026-06-23T16:53:34.797Z,,,0,https://content.adomni.com/0GR9Oz2WmNaxMCjWQNsfZ1FovzO_ihHv2ia6zNhmc1mWpwH_7S_original.png,,
595446,Lamar Advertising,"1080 SE 14th St S/S, Bentonville, AR, W/F",Digital Billboard,West,36.35646027,-94.19786173,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-23T16:53:44.469Z,,,0,https://content.adomni.com/o8gTZo7MbytG4c1hbXAhxIjNbRem9VXtAB2dvJXbWt2d5HxRFN_original.png,,
595447,Lamar Advertising,"1080 SE 14th St S/S, Bentonville, AR, E/F",Digital Billboard,East,36.35646027,-94.19786173,1,Bentonville,Arkansas,72712,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-23T16:54:53.070Z,,,0,https://content.adomni.com/AfdG7PUslbWSsOvHMkQlwZNfUSxnr0GU9ENWX460Pn3x3eLVAe_original.png,,
595448,Lamar Advertising,"3158 SE 14th St, Bentonville, AR S/S, W/F",Digital Billboard,West,36.35613058,-94.17500126,1,Rogers,Arkansas,72756,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-23T16:53:08.528Z,,,0,https://content.adomni.com/xd9f7grXvCqcB7Packz5wa10jL8huMz1FxZrV7Vn0Raln9a_5-_original.png,,
595449,Lamar Advertising,"3158 SE 14th St, Bentonville, AR S/S, E/F",Digital Billboard,East,36.35613058,-94.17500126,1,Rogers,Arkansas,72756,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1200,400,8,N,N,2026-06-22T04:59:29.448Z,,,0,https://content.adomni.com/vQ_uP2DhheSLPYZq6_sYgIZcLXlk8XhYy-zaCKvcYRB6VVsAc4_original.png,,
595450,Lamar Advertising,"Hwy 62 S/S, 0.70 mi E/O SH 170, 245 E. Main St, Farmington, AR, E/F",Digital Billboard,East,36.04522207,-94.22941474,1,Farmington,Arkansas,72730,United States,7.246376812,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1400,400,8,N,N,2026-06-23T16:14:01.914Z,,,0,https://content.adomni.com/C1RcV-tBqBEL6MeHlRoofJ6hq6Uvb5MYwfqIkMLhDFi5v5Li2A_original.jpg,,
679177,Edison Interactive,The Creeks Golf Course - AR,Sports Entertainment,,36.245559,-94.239055,60,Cave Springs,Arkansas,72718,United States,10.86956522,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",300,250,15,Y,N,2026-06-23T16:13:26.502Z,,,0,https://content.adomni.com/185f9946ed6hXDqWp8nqemX97ggp-LcNf8YTSrReetnXg_WbYx_original.jpeg,,
706531,Zoom Media GymTV ,Planet Fitness (RB) - Siloam Springs - (100-1466),Gym,,36.182594,-94.51725,5,Siloam Springs,Arkansas,72761,United States,5.797101449,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Benton County, AR",1920,1080,15,Y,N,2026-06-23T16:06:35.440Z,,,0,https://content.adomni.com/5d895939b3b6acjAjwKzYhC6QBLNG2KkxEEFq6bCF_meAFnheg_original.png,,
707783,Zoom Media GymTV ,Planet Fitness (RB) - Fayetteville (West) - (100-614),Gym,,36.077255,-94.20779,5,Fayetteville,Arkansas,72704,United States,5.797101449,FT. SMITH-FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR","Washington County, AR",1920,1080,15,Y,N,2026-06-23T16:37:11.053Z,,,0,https://content.adomni.com/5d895939b3b6acjAjwKzYhC6QBLNG2KkxEEFq6bCF_meAFnheg_original.png,,
